Index,EntryIndex,Timestamp,ServingCellID,CellIdentity,CellObjectID,UE_ID,Serving_PCI,Neighbor_PCI,RSRP,RSRQ,SINR,TxPower
1,3,80 01:33:00.850,5,131-13335000000,NRCellCU,00046,5,8,0,0,28,0
2,3,80 01:33:00.850,5,131-13335000000,NRCellCU,00046,5,6,0,0,9,0
3,3,80 01:33:00.850,5,131-13335000000,NRCellCU,00046,5,2,0,0,8,0
4,3,80 01:33:00.850,5,131-13335000000,NRCellCU,00046,5,3,0,0,0,0
5,3,80 01:33:00.850,5,131-13335000000,NRCellCU,00046,5,4,0,0,0,0
6,3,80 01:33:00.850,5,131-13335000000,NRCellCU,00046,5,9,0,0,0,0
7,3,80 01:33:00.850,5,131-13335000000,NRCellCU,00046,5,12,0,0,0,0
8,3,80 01:33:00.850,5,131-13335000000,NRCellCU,00046,5,13,0,0,0,0
9,3,80 01:33:00.850,5,131-13335000000,NRCellCU,00067,5,13,0,0,20,0
10,3,80 01:33:00.850,5,131-13335000000,NRCellCU,00067,5,9,0,0,9,0
11,3,80 01:33:00.850,5,131-13335000000,NRCellCU,00067,5,8,0,0,6,0
12,3,80 01:33:00.850,5,131-13335000000,NRCellCU,00067,5,2,0,0,0,0
13,3,80 01:33:00.850,5,131-13335000000,NRCellCU,00067,5,6,0,0,0,0
14,3,80 01:33:00.850,5,131-13335000000,NRCellCU,00067,5,15,0,0,0,0
15,3,80 01:33:00.850,5,131-13335000000,NRCellCU,00067,5,14,0,0,0,0
16,3,80 01:33:00.850,5,131-13335000000,NRCellCU,00067,5,3,0,0,0,0
1,4,80 04:21:33.489,13,131-13331330000,NRCellCU,00066,13,5,0,0,10,0
2,4,80 04:21:33.489,13,131-13331330000,NRCellCU,00066,13,8,0,0,6,0
3,4,80 04:21:33.489,13,131-13331330000,NRCellCU,00066,13,6,0,0,0,0
4,4,80 04:21:33.489,13,131-13331330000,NRCellCU,00066,13,9,0,0,0,0
5,4,80 04:21:33.489,13,131-13331330000,NRCellCU,00066,13,4,0,0,0,0
6,4,80 04:21:33.489,13,131-13331330000,NRCellCU,00066,13,10,0,0,0,0
7,4,80 04:21:33.489,13,131-13331330000,NRCellCU,00066,13,14,0,0,0,0
8,4,80 04:21:33.489,13,131-13331330000,NRCellCU,00066,13,3,0,0,0,0
1,5,80 04:21:33.490,8,131-13338000000,NRCellCU,00021,8,11,0,0,15,0
2,5,80 04:21:33.490,8,131-13338000000,NRCellCU,00021,8,2,0,0,3,0
3,5,80 04:21:33.490,8,131-13338000000,NRCellCU,00021,8,5,0,0,0,0
4,5,80 04:21:33.490,8,131-13338000000,NRCellCU,00021,8,15,0,0,0,0
5,5,80 04:21:33.490,8,131-13338000000,NRCellCU,00021,8,3,0,0,0,0
6,5,80 04:21:33.490,8,131-13338000000,NRCellCU,00021,8,4,0,0,0,0
7,5,80 04:21:33.490,8,131-13338000000,NRCellCU,00021,8,13,0,0,0,0
8,5,80 04:21:33.490,8,131-13338000000,NRCellCU,00021,8,7,0,0,0,0
1,6,80 04:21:33.490,13,131-13331330000,NRCellCU,00030,13,5,0,0,27,0
2,6,80 04:21:33.490,13,131-13331330000,NRCellCU,00030,13,3,0,0,1,0
3,6,80 04:21:33.490,13,131-13331330000,NRCellCU,00030,13,9,0,0,0,0
4,6,80 04:21:33.490,13,131-13331330000,NRCellCU,00030,13,6,0,0,0,0
5,6,80 04:21:33.490,13,131-13331330000,NRCellCU,00030,13,8,0,0,0,0
6,6,80 04:21:33.490,13,131-13331330000,NRCellCU,00030,13,4,0,0,0,0
7,6,80 04:21:33.490,13,131-13331330000,NRCellCU,00030,13,10,0,0,0,0
8,6,80 04:21:33.490,13,131-13331330000,NRCellCU,00030,13,7,0,0,0,0
9,6,80 04:21:33.490,13,131-13331330000,NRCellCU,00066,13,5,0,0,22,0
10,6,80 04:21:33.490,13,131-13331330000,NRCellCU,00066,13,8,0,0,12,0
11,6,80 04:21:33.490,13,131-13331330000,NRCellCU,00066,13,6,0,0,1,0
12,6,80 04:21:33.490,13,131-13331330000,NRCellCU,00066,13,9,0,0,0,0
13,6,80 04:21:33.490,13,131-13331330000,NRCellCU,00066,13,4,0,0,0,0
14,6,80 04:21:33.490,13,131-13331330000,NRCellCU,00066,13,10,0,0,0,0
15,6,80 04:21:33.490,13,131-13331330000,NRCellCU,00066,13,12,0,0,0,0
16,6,80 04:21:33.490,13,131-13331330000,NRCellCU,00066,13,7,0,0,0,0
1,8,80 04:21:33.491,9,131-13339000000,NRCellCU,00032,9,5,0,0,16,0
2,8,80 04:21:33.491,9,131-13339000000,NRCellCU,00032,9,10,0,0,0,0
3,8,80 04:21:33.491,9,131-13339000000,NRCellCU,00032,9,2,0,0,0,0
4,8,80 04:21:33.491,9,131-13339000000,NRCellCU,00032,9,3,0,0,0,0
5,8,80 04:21:33.491,9,131-13339000000,NRCellCU,00032,9,13,0,0,0,0
6,8,80 04:21:33.491,9,131-13339000000,NRCellCU,00032,9,8,0,0,0,0
7,8,80 04:21:33.491,9,131-13339000000,NRCellCU,00032,9,14,0,0,0,0
8,8,80 04:21:33.491,9,131-13339000000,NRCellCU,00032,9,15,0,0,0,0
9,8,80 04:21:33.491,9,131-13339000000,NRCellCU,00007,9,3,0,0,22,0
10,8,80 04:21:33.491,9,131-13339000000,NRCellCU,00007,9,6,0,0,17,0
11,8,80 04:21:33.491,9,131-13339000000,NRCellCU,00007,9,8,0,0,0,0
12,8,80 04:21:33.491,9,131-13339000000,NRCellCU,00007,9,5,0,0,0,0
13,8,80 04:21:33.491,9,131-13339000000,NRCellCU,00007,9,13,0,0,0,0
14,8,80 04:21:33.491,9,131-13339000000,NRCellCU,00007,9,2,0,0,0,0
15,8,80 04:21:33.491,9,131-13339000000,NRCellCU,00007,9,14,0,0,0,0
16,8,80 04:21:33.491,9,131-13339000000,NRCellCU,00007,9,7,0,0,0,0
17,8,80 04:21:33.491,9,131-13339000000,NRCellCU,00010,9,14,0,0,5,0
18,8,80 04:21:33.491,9,131-13339000000,NRCellCU,00010,9,5,0,0,0,0
19,8,80 04:21:33.491,9,131-13339000000,NRCellCU,00010,9,6,0,0,0,0
20,8,80 04:21:33.491,9,131-13339000000,NRCellCU,00010,9,7,0,0,0,0
21,8,80 04:21:33.491,9,131-13339000000,NRCellCU,00010,9,8,0,0,0,0
22,8,80 04:21:33.491,9,131-13339000000,NRCellCU,00010,9,2,0,0,0,0
23,8,80 04:21:33.491,9,131-13339000000,NRCellCU,00010,9,13,0,0,0,0
24,8,80 04:21:33.491,9,131-13339000000,NRCellCU,00010,9,12,0,0,0,0
1,10,80 04:21:33.493,9,131-13339000000,NRCellCU,00010,9,6,0,0,5,0
2,10,80 04:21:33.493,9,131-13339000000,NRCellCU,00010,9,14,0,0,0,0
3,10,80 04:21:33.493,9,131-13339000000,NRCellCU,00010,9,8,0,0,0,0
4,10,80 04:21:33.493,9,131-13339000000,NRCellCU,00010,9,7,0,0,0,0
5,10,80 04:21:33.493,9,131-13339000000,NRCellCU,00010,9,5,0,0,0,0
6,10,80 04:21:33.493,9,131-13339000000,NRCellCU,00010,9,10,0,0,0,0
7,10,80 04:21:33.493,9,131-13339000000,NRCellCU,00010,9,2,0,0,0,0
8,10,80 04:21:33.493,9,131-13339000000,NRCellCU,00010,9,13,0,0,0,0
9,10,80 04:21:33.493,9,131-13339000000,NRCellCU,00032,9,5,0,0,6,0
10,10,80 04:21:33.493,9,131-13339000000,NRCellCU,00032,9,3,0,0,6,0
11,10,80 04:21:33.493,9,131-13339000000,NRCellCU,00032,9,10,0,0,0,0
12,10,80 04:21:33.493,9,131-13339000000,NRCellCU,00032,9,13,0,0,0,0
